transaction_id,mall_name,branch_name,transaction_date,tax_amount,transaction_amount,transaction_type,transaction_status,rag_text,year,month,week,weekday,hour,is_refund,is_failed
JO-2504-4466-34760,Z Mall,Z Mall Al Bayader,2025-04-20 20:55:00,0.152,2.052,Sale,Failed,Transaction ID JO-2504-4466-34760 at Z Mall (Z Mall Al Bayader) on 20/04/2025 20:55 was a Sale of 2.052 JOD with 0.152 JOD tax. Status: Failed.,2025,4,16,Sunday,20,False,True
JO-2504-8444-31356,C Mall,C Mall Amman,2025-04-20 20:37:00,0.152,2.052,Sale,Failed,Transaction ID JO-2504-8444-31356 at C Mall (C Mall Amman) on 20/04/2025 20:37 was a Sale of 2.052 JOD with 0.152 JOD tax. Status: Failed.,2025,4,16,Sunday,20,False,True
JO-2504-3064-71649,Z Mall,Z Mall Gardens,2025-04-20 20:09:00,0.152,2.052,Sale,Failed,Transaction ID JO-2504-3064-71649 at Z Mall (Z Mall Gardens) on 20/04/2025 20:09 was a Sale of 2.052 JOD with 0.152 JOD tax. Status: Failed.,2025,4,16,Sunday,20,False,True
JO-2504-2507-64030,Y Mall,Y Mall Tla'a Al-Ali,2025-04-17 07:03:00,0.152,2.052,Sale,Failed,Transaction ID JO-2504-2507-64030 at Y Mall (Y Mall Tla'a Al-Ali) on 17/04/2025 7:03 was a Sale of 2.052 JOD with 0.152 JOD tax. Status: Failed.,2025,4,16,Thursday,7,False,True
JO-2504-1155-35357,C Mall,C Mall Irbid,2025-04-13 06:38:00,0.07,1.12,Sale,Failed,Transaction ID JO-2504-1155-35357 at C Mall (C Mall Irbid) on 13/04/2025 6:38 was a Sale of 1.12 JOD with 0.07 JOD tax. Status: Failed.,2025,4,15,Sunday,6,False,True
JO-2504-9356-34850,Z Mall,Z Mall Al Jubeiha,2025-04-12 20:04:00,0.0035,0.0535,Sale,Failed,Transaction ID JO-2504-9356-34850 at Z Mall (Z Mall Al Jubeiha) on 12/04/2025 20:04 was a Sale of 0.0535 JOD with 0.0035 JOD tax. Status: Failed.,2025,4,15,Saturday,20,False,True
JO-2504-5116-65058,Z Mall,Z Mall Al Bayader,2025-03-29 21:17:00,0.06,0.8,Sale,Failed,Transaction ID JO-2504-5116-65058 at Z Mall (Z Mall Al Bayader) on 29/03/2025 21:17 was a Sale of 0.8 JOD with 0.06 JOD tax. Status: Failed.,2025,3,13,Saturday,21,False,True
JO-2504-8072-48225,Y Mall,Y Mall Shmeisani,2025-02-25 10:19:00,0.24,3.27,Sale,Failed,Transaction ID JO-2504-8072-48225 at Y Mall (Y Mall Shmeisani) on 25/02/2025 10:19 was a Sale of 3.27 JOD with 0.24 JOD tax. Status: Failed.,2025,2,9,Tuesday,10,False,True
JO-2504-7586-81795,Y Mall,Y Mall Tla'a Al-Ali,2025-02-16 19:23:00,0.38,5.11,Sale,Failed,Transaction ID JO-2504-7586-81795 at Y Mall (Y Mall Tla'a Al-Ali) on 16/02/2025 19:23 was a Sale of 5.11 JOD with 0.38 JOD tax. Status: Failed.,2025,2,7,Sunday,19,False,True
JO-2504-6847-49531,Z Mall,Z Mall Al Jubeiha,2025-02-16 19:15:00,1.5,20.3,Sale,Failed,Transaction ID JO-2504-6847-49531 at Z Mall (Z Mall Al Jubeiha) on 16/02/2025 19:15 was a Sale of 20.3 JOD with 1.5 JOD tax. Status: Failed.,2025,2,7,Sunday,19,False,True
JO-2504-4082-29961,Y Mall,Y Mall Dabouq,2025-02-16 19:09:00,2.52,33.96,Sale,Failed,Transaction ID JO-2504-4082-29961 at Y Mall (Y Mall Dabouq) on 16/02/2025 19:09 was a Sale of 33.96 JOD with 2.52 JOD tax. Status: Failed.,2025,2,7,Sunday,19,False,True
JO-2504-2923-58291,C Mall,C Mall Irbid,2025-02-16 19:04:00,0.05,0.68,Sale,Failed,Transaction ID JO-2504-2923-58291 at C Mall (C Mall Irbid) on 16/02/2025 19:04 was a Sale of 0.68 JOD with 0.05 JOD tax. Status: Failed.,2025,2,7,Sunday,19,False,True
JO-2504-4535-85980,C Mall,C Mall Amman,2025-02-16 17:47:00,0.41,5.56,Sale,Failed,Transaction ID JO-2504-4535-85980 at C Mall (C Mall Amman) on 16/02/2025 17:47 was a Sale of 5.56 JOD with 0.41 JOD tax. Status: Failed.,2025,2,7,Sunday,17,False,True
